1,3405;4890;8214;3840;15166
2,12897;16439;943;13857;7400
3,3015;6092;2446;8694;3566
4,1351;756;2992;777;6614
5,5486;15352;14241;1301;5745
6,671;650;889;691;8035
7,9640;10823;8652;8941;11379
8,3210;4067;1574;5612;1690
9,6957;6980;5434;7569;6365
10,2477;11940;5380;8224;7787
11,4781;3661;2915;4703;241
12,2435;4013;5002;3867;451
13,15;6542;11568;470;1911
14,2537;3076;4580;8072;1114
15,3547;2052;489;12572;14297
16,1188;12359;1663;14783;963
17,1182;2795;12420;14023;886
18,6573;6207;5702;15484;2317
19,5995;4798;4236;3578;10031
20,12425;8818;9894;2978;2533
21,1006;945;329;1666;1114
22,1666;995;753;1115;1008
23,281;287;6972;3639;815
24,768;3803;14717;5167;14783
25,381;29;10945;8327;15601
26,29;829;1975;5317;5896
27,6417;11744;12975;12772;4019
28,381;6810;6806;6808;6804
29,3415;1182;484;3177;7659
30,1193;5885;18;1975;1889
31,1641;1564;1544;1645;14590
32,3819;3735;7648;3025;12879
33,8033;7546;781;9967;9165
34,12258;12252;1105;13300;16610
35,2241;2222;1214;7916;4821
36,2921;69;15088;2654;940
37,4778;1198;10606;1930;2270
38,136;2901;2692;7546;1486
39,6826;10079;4203;4633;3706
40,4368;5636;5198;2293;5630
41,8463;2390;3051;8765;4393
42,1380;1148;1981;2521;1149
43,889;4258;10813;1949;1137
44,1214;454;522;11364;486
45,17;381;1797;11206;10945
46,4171;5936;12422;6716;10582
47,14636;12116;1080;16804;14819
48,486;1627;10777;6433;7597
49,2217;4304;1214;1358;4933
50,16;51;1612;1297;2241
51,1666;9393;1182;945;1975
52,2217;14150;8512;710;14337
53,1404;6798;6022;5040;4213
54,1022;1;11250;9669;5638
55,6116;3313;3308;2876;2265
56,768;1627;12527;3382;16319
57,6835;5769;4680;10199;2237
58,6360;3415;15277;14477;14608
59,9557;9354;12441;5719;4798
60,1197;846;831;6921;2230
61,1204;1105;3805;521;10906
62,2236;2462;506;1666;1945
63,13223;7714;11317;8051;13141
64,1949;1153;918;1419;3133
65,11916;5378;12629;6825;9750
66,7484;3004;1384;4249;2028
67,11568;1010;1901;14608;6633
68,3982;8505;7263;7895;12418
69,11483;11431;11399;11381;9948
70,15210;14462;7326;10677;15814
71,9104;1105;1975;28;1707
72,3425;1435;3004;434;8751
73,478;29;2779;1143;12391
74,1142;404;2915;10148;7272
75,7050;18;15615;16410;3467
76,7359;1558;9774;1589;11106
77,18;15;2509;8046;1440
78,10820;3343;3019;2241;16293
79,13631;13685;13788;13749;13717
80,2795;2463;15740;7735;1455
81,986;1215;5109;345;8622
82,857;4131;1921;2241;97
83,572;596;3652;6587;741
84,914;11142;2993;8485;8887
85,4079;2819;3409;5295;7668
86,2389;8977;1975;1902;7140
87,14608;2770;5121;13106;12378
88,4230;1182;643;5551;1331
89,9300;5803;4433;7745;5811
90,431;4463;1364;810;8087
91,29;484;4031;5059;8792
92,3121;4022;239;2054;11114
93,10617;3592;5371;6417;8859
94,177;3982;8050;5812;8722
95,4953;383;1244;308;151
96,747;1470;4131;5003;6128
97,889;2931;8693;4792;2127
98,2039;454;547;3177;10044
99,145;11206;1479;656;1558
100,7923;889;2332;2019;2829
101,2379;1975;3436;8027;6769
102,2236;4749;1892;6549;1004
103,1137;9234;2018;9815;1396
104,1277;10606;4977;10153;2967
105,13616;292;8066;10899;2390
106,596;1385;2516;569;2199
107,4862;1164;13711;10544;7386
108,1899;2463;240;8193;10579
109,486;24;3084;4926;2207
110,1818;60;5589;1819;2729
111,7196;7823;2567;4129;15102
112,15;8496;491;3277;550
113,121;5121;2125;4041;1119
114,768;11139;5821;5451;9318
115,1028;522;2229;7469;2221
116,8460;1926;8159;5869;12842
117,15;24;1756;7546;1115
118,2307;2915;2490;4683;4742
119,918;2490;2795;3176;11587
120,6771;4732;5282;3952;14562
121,11210;478;2463;8361;2901
122,12588;5509;16933;13506;2709
123,3339;5675;7883;2629;44
124,3749;3342;3557;5191;5035
125,1931;4131;2931;15202;12752
126,2242;9006;16722;2210;4693
127,15238;10583;14716;5788;15513
128,42;7268;1774;10205;11996
129,14277;14989;478;16085;15610
130,6189;1201;4530;15408;13884
131,1589;17;13562;13495;7580
132,1410;1054;9091;2251;7310
133,9574;16591;14058;7391;4321
134,972;3669;2033;5543;3235
135,17;4539;336;1926;6881
136,2692;6604;23;1797;13434
137,486;846;7422;8976;8512
138,4;5476;15678;16814;1187
139,1105;3341;2833;1165;7446
140,860;8157;7241;862;7239
141,13970;1280;4830;14806;13908
142,2779;9836;2476;14003;2363
143,1091;7693;6648;5306;17
144,3982;9165;13444;10496;8421
